Date,Event,Fatalities,Route,Location,Aircraft Type,Passengers,Registration,Aircraft,Crew,Responsible Group,People on Board,Crash Cause,Total Fatalities,Accident Cause,Survivors,Flight Number,Weather,Probable Cause,Airline,Flight Route,Total Passengers,Crew Members,Ground Casualties,Total Crew,Establishment Date,Contributing Factors,,Cause,Accident Description,Possible Causes,Total Fatalties,Crash Location,Crew Deaths,Aircraft Registration,Main Cause,Engine Type,Notable Individuals,Capacity,Aircraft Information,Description,Departure Airport,Destination Airport,Destination,Outcome,Responsible Party,Operations,Name,Cause of Crash,Injuries,Formation Date,--------------------,Serious Injuries,Minor/No Injuries,Operational History,Other Details,-------,Aeroservicios Ecuatorianos Flight 767-103,Modernization Era,Peak Status,Post-1992 Status,Operation Enduring Freedom Status,2021 Status,Fall of Kabul Status,Flight Crew,Manufacturer Serial Number,Maintenance Details,Passenger Details,Responsible Group/Cause,Crew Fatalities,Passenger Fatalities,Development,Wing Position,Characteristics,Alliance Air Flight 7412,Boeing 737-2A8 (VT-EGD),Operator,Total People on Board,Crew Involved,Additional Context,Crew members,------------------------,Cameroon Airlines 3701,Departure,Ground Fatalities,Initial Engine Issue,Reason for Crash,Occupants,Smoke Detection,Wreckage Location,Flight Recorder Recovery,Founded by,First Aircraft Delivered,Battle Significance,Main Commander,Flydubai Flight 981,Additional Information:,"- Flydubai Flight 981 was a scheduled international passenger flight from Dubai to Rostov-on-Don that tragically ended in a crash during a go-around procedure, resulting in the loss of all 62 passengers and crew on board.","- The airline, Flydubai, had an excellent safety record prior to this incident and had recently become a member of the IATA organization.","- The pilots raised concerns about fatigue-related issues within the airline's rostering system, indicating potential factors affecting flight safety.",Founding Date,Founder,Headquarters,Acquired by,Fleet,Notable Awards,Merger Date,Reestablishment Date,Current Status,Minister of Defense,"This table provides a snapshot of the Nicosia Britannia disaster, showcasing essential details such as the date, location, aircraft type, number of passengers and crew, fatalities, survivors, and the contributing factors leading to the crash. These details offer a concise overview of the tragic event's key aspects.",Notes,Engine,Produced,Variant,Paratroopers,Cargo Capacity,Rear Loading Ramp/Door,Defensive Tail Gun Turret,Chinese Version,Production Year,Personnel Count,Highest Rank Held,-----------------------------------,Crash Causes,Potential Causes,LaMia Flight 2933,----------------,2933,LOT Polish Airlines Flight 5055,Alleged Cause,Possible Cause of Crash,Accident Causes,Location of Disappearance,Pakistan International Airlines Flight 268,Crew Member,------------------,Captain,First Officer,Flight Engineer 1,Flight Engineer 2,Pakistan International Airlines Flight 8303,Engine Failures,Rescued,Note,Total Lockheed C-130 Hercules Production Hulls Lost,US C-130 Losses during Vietnam War,Royal Air Force Accident Rate (1967-2005),US Air Force Hercules Overall Attrition Rate,Lineage of Russian Air Force,Commander,Sequence of Events,Investigation,Singapore Airlines Flight 006,-----------------------,Captain Foong Chee Kong,First Officer Latiff Cyrano,Relief Pilot Ng Kheng Leng,Key Causes,Responsible Crew Members,Southern Airways Flight 932,Possible Contributing Factors,Casualties,Investigating Authority,TAME Flight 120,Weather Conditions,Responsible Pilots,Crash Factors,TWA Flight 128,Crew Role,-------------------,Hours of Flight,"Pilot error, misjudgment of altitude",Origin,Fatalities (Passengers),Fatalities (Crew),Responsible Factors,Flight 352,Yekaterinburg - Vladivostok,Vnukovo Airlines 2801,"Since there is no specific responsible group mentioned in the text provided, this information has been excluded from the final table.",Initial Aircraft,Training Partnership,Initial Acquisition of Aircraft,Major Arms Deal,Aircraft Provided by Donations,Conflicts Faced by Air Force,Sole Survivor,trigger
"March 17, 1988",Avianca Flight 410,143,,"Near Cúcuta, Colombia",Boeing 727-21,,HK-1716,,,Avianca,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Avianca Flight 410
"January 25, 1990",Avianca Flight 52,65,"Bogotá, Colombia - New York City, USA via Medellín, Colombia",,,149,,Boeing 707,,National Transportation Safety Board,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Avianca Flight 52
"August 9, 1995",Aviateca Flight 901,65,,"San Vicente volcano, El Salvador",Boeing 737-200,,-,,,Flight Crew,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aviateca Flight 901
23 May 1971,Aviogenex Flight 130,78,,"Rijeka, Yugoslavia",Tupolev Tu-134A,,YU-AHZ,,,Crew error due to optical illusion,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aviogenex Flight 130
20 November 1993,Avioimpex Flight 110,116,Geneva to Skopje via Ohrid airport,7 km east of Ohrid Airport,Yakovlev Yak-42,108,,,8,Pilot Error,,Mismanagement of approach and landing procedures lead to a fatal crash.,,,0,,,,Avioimpex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Avioimpex Flight 110
5 December 1995,Azerbaijan Airlines Flight A-56,52,"Nakhchivan to Baku, Azerbaijan",,Tupolev Tu-134B-3,Unknown,,,,,,,,,,,,,,,,,,,,"Engine failure, sharp right turn to avoid obstacle, forced landing, fatal crash",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Azerbaijan Airlines Flight 56
3 January 1994,Flight 130,125,Irkutsk to Moscow,"Near Mamony, Russia",Tupolev Tu-154,,,,,Foreign object in engine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Baikal Airlines,124,"Captain Gennadiy S. Padukov, First Officer A. G. Zhavoronkov, Navigator V. I. Molnar, Flight Engineer Ilya Petrovich Karpov, Purser O. V. Likhodyevsky, 4 Flight Attendants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Baikal Air Flight 130
22 October 2005,Bellview Airlines Flight 210,117,Lagos to Abuja,,,111,5N-BFN,Boeing 737-200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bellview Airlines Flight 210
20 April 2012,,,Karachi to Islamabad,,,121,,Boeing 737-236A,6,,,,127,Crew's inadequate flight management,,,Adverse weather conditions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bhoja Air Flight 213
6 February 1996,,,"Puerto Plata, Dominican Republic - Frankfurt, Germany",,,189,,Boeing 757-225,"Captain Ahmet Erdem, First Officer Aykut Gergin, Relief Pilot Muhlis Evrenesoğlu",,,,,"Incorrect airspeed information from a blocked pitot tube due to a wasp nest, pilot error",,,,,,,,,,,,,,,,,189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Deadliest aviation accident in the Dominican Republic, aircraft history, crew members' flight experience",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Birgenair Flight 301
5 March 1966,BOAC Flight 911,,Tokyo - Hong Kong,,,113,,Boeing 707,,,,,124,"Severe clear-air turbulence caused mid-air disintegration resulting in crash near Mount Fuji, Japan.",,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOAC Flight 911
"May 3, 1968",Braniff Flight 352,85,"William P. Hobby Airport, Houston, Texas, United States - Dallas Love Field, Dallas","Near Dawson, Texas",,,N9707C,Lockheed L-188A Electra,,Severe thunderstorm leading to loss of control,85,,,,,352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Braniff Flight 352
"August 31, 1966",Britannia Airways 105,98,,"Nasovče, Slovenia",Bristol 175 Britannia 102,,G-ANBB,,,,117,Altimeter Setting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Britannia Airways Flight 105
"August 22, 1985",British Airtours Flight 28M,55,"Manchester, England - Corfu, Greece",,Boeing 737-236,131,G-BGJL,,"Captain Peter Terrington, First Officer Brian Love",,,,,,82,,,,,,,,,,,,,,"Engine failure due to incorrectly repaired combustor causing turbine disc shatter, resulting in fire; Changes made to industry post-accident for safety.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,British Airtours Flight 28M
"February 29, 1964",British Eagle Flight 802/6,83,,"Glungezer Mountain, Innsbruck, Austria",Bristol Britannia 312,,G-AOVO,,,N/A,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,British Eagle International Airlines Flight 802
18 June 1972,,,London Heathrow to Brussels,,,118,-,Hawker Siddeley Trident,"Captain, co-pilot",,,"Deep stall, failure to maintain airspeed, incorrect high-lift device config",,,0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,British European Airways Flight 548
2 October 1971,British European Airways Flight 706,,Heathrow to Salzburg,"Aarsele, Belgium",,55,G-APEC,Vickers Vanguard,8,,,,63,Corrosion in rear pressure bulkhead leading to tailplanes separation and uncontrollable dive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,British European Airways Flight 706
4 March 1962,Caledonian Airways Flight 153,101,,"Douala, Cameroon",Douglas DC-7C,,G-ARUD,,,N/A,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caledonian Airways Flight 153
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,----------------------------------------------------------------,Loss of control during a go-around attempt leading to crash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cameroon Airlines Flight 3701
"July 8, 1965",CP Air Flight 21,52,"Vancouver, British Columbia - Whitehorse, Yukon, Canada",Near 100 Mile House,Douglas DC-6B,46,,,6,,,,,Bomb explosion in the left aft lavatory leading to tail separation and crash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canadian Pacific Air Lines Flight 21
"March 4, 1966",CPAL,54,,"Haneda Airport, Japan",McDonnell Douglas DC-8-43,62,CF-CPK,,,,,,,,8,Canadian Pacific Air Lines 402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canadian Pacific Airlines Flight 402
"January 18, 1960",Capital Airlines Flight 20,50,,"Charles City County, Virginia",Vickers Viscount,,N7464,,,,48,"Icing causing engine failures, propeller issues, circling descent, impact with trees, post-crash fire",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capital Airlines Flight 20
15 July 2009,Flight 7908,,"Tehran, Iran to Yerevan, Armenia",,,153,,Tupolev Tu-154M,15,,,,168,Failure and disintegration of a rotor disc in the left engine leading to loss of control and subsequent crash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caspian Airlines Flight 7908
"June 15, 1972",Cathay Pacific Flight 700Z,107,Singapore to Hong Kong with stopover in Bangkok,,Convair CV-880,,,,,,,"Explosive device likely located within the passenger cabin, suspect charged but found not guilty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cathay Pacific Airways Flight 700Z
2 February 1998,,,Ninoy Aquino International Airport - Lumbia Airport,,,104,,McDonnell Douglas DC-9,"Captain Paulo Justo, First Officer Erwin Golla",Cebu Pacific,,,104,,,387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cebu Pacific Air Flight 387
"April 26, 1994",China Airlines Flight 140,264,,,Airbus A300B4-622R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chiang Kai-shek International Airport,Nagoya Airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China Airlines Flight 140
26 October 1989,China Airlines Flight 204,54,,"Hualien, Taiwan",Boeing 737-200,,B-180,,,Pilot Error,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China Airlines Flight 204
"May 25, 2002",China Airlines 611,225,,Taiwan Strait,Boeing 747-209B,,B-18255,,,,225,Metal fatigue cracks due to improper repairs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China Airlines Flight 611
16 February 1998,China Airlines 676,196,,"Tayuan, Taoyuan County, Taiwan",Airbus A300B4-622R,,B-1814,,,,196,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China Airlines Flight 676
21 November 2004,China Eastern Airlines Flight 5210,53,,,,47,,Bombardier CRJ-200ER,,,,,,Ice accumulation on wings leading to loss of lift and crash into lake,,,,,,Baotou Erliban Airport - Beijing Capital International Airport - Shanghai Hongqiao International Airport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China Eastern Airlines Flight 5210
21 March 2022,China Eastern Airlines Flight 5735,132 fatalities,Kunming to Guangzhou,"Teng County, Guangxi Zhuang Autonomous Region",,123,,Boeing 737-89P,9,"National Transportation Safety Board, Civil Aviation Administration of China",,,,,,5735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China Eastern Airlines Flight 5735
"July 31, 1992",China General Aviation 7552,108,,"Nanjing, China",Yakovlev Yak-42D,,B-2755,,,N/A,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China General Aviation Flight 7552
"May 7, 2002",China Northern Airlines Flight 6136,112,,"Near Dalian, China",McDonnell Douglas MD-82,,B-2138,,,,103,Arson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China Northern Airlines Flight 6136
"July 23, 1993",China Northwest Airlines 2119,"54 Passengers, 1 Crew",,"Yinchuan, China",,,,Unknown,,,,,,,,,,Failure to deploy flaps properly leading to failed takeoff and crash,,,,,,,,,,,,,,,,,,,,,,,,,"Beijing Capital Airport, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yinchuan Airport, Ningxia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China Northwest Airlines Flight 2119
"June 6, 1994",,160,"Xi'an to Guangzhou, China",,,160,,Tupolev Tu-154M,"Captain Li Gangqiang, Faculty Captain Xin Tiancai, First Officer Yang Min, Pilot Zhang Nanjing, Flight Engineer Kang Youfa",,,,,"Autopilot malfunction causing violent shaking, overstressing the airframe, leading to crash",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China Northwest Airlines Flight 2303
24 November 1992,China Southern Airlines Flight 3943,141,,"Guilin, China",,141,B-2523,Boeing 737-3Y0,,N/A,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China Southern Airlines Flight 3943
18 January 1988,China Southwest Airlines Flight 4146,108,,"Chongqing, China",Ilyushin Il-18,108,,,,Poor Maintenance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China Southwest Airlines Flight 4146
"February 24, 1999",China Southwest Airlines Flight 4509,61,"Chengdu Shuangliu International Airport, Sichuan - Wenzhou Yongqiang Airport, Zhejiang","Wenzhou, Zhejiang, China",,,B-2622,Tupolev Tu-154M,,China Southwest Airlines,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China Southwest Airlines Flight 4509
"February 12, 2009",Colgan Air Flight 3407,50,"Newark, New Jersey to Buffalo, New York","Clarence Center, New York",Bombardier Q400,,N200WQ,,,National Transportation Safety Board,49,,,,,Continental Connection Flight 3407,,,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colgan Air Flight 3407
"August 29, 1998",Cubana de Aviación 389,70,"Old Mariscal Sucre International Airport, Quito - Simón Bolívar International Airport, Guayaquil","Quito, Ecuador",Tupolev Tu-154M,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Blocked pneumatic valve,"Failed take-off leading to runway overrun, collision with structures and ignition",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cubana de Aviaci贸n Flight 389
6 October 1976,,,Barbados to Jamaica,,,73,,Douglas DC-8,,Coordination of United Revolutionary Organizations,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cubana de Aviaci贸n Flight 455
3 September 1989,Cubana Flight 9046,126,Jose Marti International Airport to Milan,,Ilyushin Il-62M,,,,,,,,,Pilot's decision to take off in deteriorating weather conditions,,,"Heavy rain, wind gusts of 30-50 mph, downdraft causing loss of control",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cubana de Aviaci贸n Flight 9046
"May 18, 2018",Cubana de Aviación 972,112,,Near Santiago de las Vegas,Boeing 737-201 Adv.,,XA-UHZ,,,"Cuban safety investigators, United States, Mexico",113,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cubana de Aviaci贸n Flight 972
