Location,Date,Casualties,Cause of Explosion,Impacts,Response and Aftermath,Depot Details,Aftermath,Cause,Owner,Time,Additional Details,Aftermath and Response,Number of Injuries,Details,Impacts and Aftermath,Mine Details,Ship Details,Impacts and Response,Details of Incident,Cause of Accident,Impact,Injuries,Significance,Impacts/Aftermath,Factory Details,Operator,Details of Gunpowder Storage Facility,Area of Impact,Specific Details,Description,Type of Missile,"ARCO Chemical, Channelview, Texas",Industrial Context,Extent of Damage,Warning Signs Ignored,Companies Involved,Fines,Details of Explosion,Cause of Explosions,Area Impacted,Response Measures,Plant Details,2013,6 fatalities initially reported,Details of Buildings,Response by Consolidated Edison,NTSB Findings,Impact on Metro-North Railroad Tracks,Company,Response,"October 1, 2014",---------------,Factory completely destroyed,"Huge craters left behind, debris flying","Previous citations for outdated equipment, improperly stored explosives",Specific Details of the Incident,Confirmed Casualties,People in Mine at Time of Explosion,Conflicting Reports by Local Rebels,Call for Access by Ukrainian President,Vehicle Involved,Area of Explosion,Aftermath/Legal Proceedings,Response Time,Background,Facility Details,Fire Brigade Response,Official Actions,Property Damage,Homeless Population,Storage Details,Seismic Impact,Government Response,State of Emergency,Protests Against Government,Economic Crisis,Number of Floors,Safety Measures,Victims,Explosions,Investigation,Previous Incident,25 June 2020,30 June 2020,Time of Explosion,Gas Leak Details,Area of Incident,Colliery Details,Aftermath and Controversies,Event Site Details,Key Details of Incident,Cause of Derailment,Key Details,Gunpowder Store Details,Site Details,Gunpowder Theft Details,Historical Connections,Vehicles Involved,Statements by Officials,"June 1, 1974",Additional Information: Casualty figures could have been higher on a weekday; lack of mechanical engineering expertise in management; impact on UK process safety regulations and Seveso Directive in Europe; change in plant production from fertiliser to caprolactam,Area of Fire,Company Details,Aftermath and Responses,Blast Area Damage,Consequences,Identified Causes,Railway Details,Housing Complex Details,Related Incidents,Extent of Impact,Duration of Repairs,Responsible Party,Fines Imposed,Legal Actions,Fatalities,Main Cause,Monetary Damage,Responsible Parties,Legal Outcome,Significant Impacts/Aftermath,Rocket Details,School Details,Owner/Operator,Impacts or Aftermath,"May 4, 1988","**Please note that the provided table covers the main details of the explosion, such as the date, location, casualties, cause of the explosion, and the area affected. Further details can be added as needed.",Founding Date,Founders,Headquarters,Primary Operations,Notable Achievements,Aftermath and Impact,Incident Details,Aftermath and Investigation,Number of Fatalities,Number of Buildings Damaged,Estimated Cost of Damage,Details of Vehicles Involved,"January 30, 1900",Additional columns that could be included:,- Time of the explosion,- Name and brief background of the individual killed,- Any official investigations conducted,Miners Underground,"January 28, 1986",Additional Information:,- The accident occurred during the Space Shuttle Challenger's tenth flight (STS-51-L) and twenty-fifth flight of the Space Shuttle fleet.,- Crew members were supposed to deploy a communications satellite and study Halley's Comet.,- The disaster was caused by the failure of O-ring seals due to record-low temperatures.,- The accident led to the disintegration of the spacecraft over the Atlantic Ocean.,- Fragments were recovered from the ocean after a search-and-recovery operation.,Building Details,Refinery Details,Aftermath and Consequences,Magnitude of Explosion,--------------,"April 17, 2013",trigger
"Kongo Central, Democratic Republic of the Congo",6 October 2018,"At least 39 dead, 100+ injured",Traffic collision and explosion of tank truck in Mbuba village,,,,,,,,,,,,,,,"Villagers collecting leaked fuel leading to explosion, destruction of houses, MONUSCO sending ambulances to Kisantu for evacuations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mbuba road tanker explosion
"Memphis, Tennessee","December 23, 1988","9 dead, 10 injured",Ruptured propane tanker truck causing massive fire,,,"Interstate 40/Interstate 240 interchange, poorly designed, rebuilt in the 2000s, previously unsafe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Memphis tanker truck disaster
"Lawrence, Andover, and North Andover, Massachusetts, United States","September 13, 2018","1 killed (Leonel Rondon), 30,000 forced to evacuate",Excessive pressure in natural gas lines owned by Columbia Gas of Massachusetts,,,"Distribution network, high-pressure main pipeline, regulators, faulty procedure",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Merrimack Valley gas explosions
"La Merced Market, Mexico City","December 12, 1988",60+,Illegal fireworks explosion/fire,,,,,,,,,"Sale and use of fireworks banned, skepticism over regulation",,"Gas cylinder explosion from street food vendor, chain reaction of exploding firework crates, spread to nearby buildings",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mexico City fireworks disaster
"Mihăileşti, Romania","May 24, 2004",,,,,,,,,4:57 AM,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,Truck rollover leading to ammonium nitrate fire,"70,000 euros","Director of plant, transport managers","Conviction, 4-year jail sentences, compensation to victims' families",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mih膬ile葯ti explosion
"Yokkaichi, Mie, Japan","January 9, 2014",At least 5 dead,Explosion at Mitsubishi Materials chemical plant,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mitsubishi Materials chemical plant explosion
"Morogoro, Tanzania",10 August 2019,"At least 89 killed, at least 55 injured",Fuel tanker explosion,,,,,,,8:30 am EAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Video footage, injuries, rescue operations",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Morogoro tanker explosion
"Baikonur test range, Soviet Union",24 October 1960,Unknown,Second stage engine ignition accident during R-16 ICBM test flight prep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rocket fueled with UDMH and N2O4, extreme schedule pressure, launch pad 41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nedelin catastrophe
"New London, Texas","March 18, 1937",300+ deaths,Natural gas leak,,,,,,,,,,,,,,,,,,,,Third deadliest disaster in Texas history,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"School built in 1932, wealthy district, oil discovery boosting economy, football team, heating system, economic context",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New London School explosion
"Village of Khayyam near Nishapur, Iran",18 February 2004,"Nearly 300 killed, entire village destroyed",Runaway train wagons carrying hazardous cargo,,,"Abu Muslim Station, runaway train wagons carrying sulfur, fertilizer, petrol, and cotton wool",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nishapur train disaster
"Feroze Gandhi Unchahar power plant, Uttar Pradesh, India","November 1, 2017","32 killed, 100 injured",Boiler explosion while cleaning ash,,"Ambulances, police deployment, compensation for victims",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,National Thermal Power Corporation Limited (NTPC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTPC power plant explosion
"Okobie, Nigeria","July 12, 2012",121,Tank truck explosion after spilling petrol contents,,,,,,,,,,At least 75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Destruction of motorcycle taxis, rescue efforts by multiple agencies, previous similar incidents referenced by Nigerian President",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Okobie road tanker explosion
"Oppau, Ludwigshafen, Germany","September 21, 1921","500-600 killed, about 2,000 injured","Explosion of 4,500 tonnes of ammonium sulfate and ammonium nitrate fertilizer mixture",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oppau explosion
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Las Vegas Valley within 10-mile radius,"**Please note that the provided table covers the main details of the explosion, such as the date, location, casualties, cause of the explosion, and the area affected. Further details can be added as needed.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PEPCON disaster
"Petlawad, Jhabua, Madhya Pradesh, India","September 12, 2015",104,Illegally stored explosives detonated with cooking gas cylinder,"Building damage, deaths at bus stop, autopsies performed","Compensation, inquiry announced, condolences expressed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Petlawad explosion
"Petrila, Jiu Valley, Hunedoara County, Romania","November 15, 2008","8 miners, 4 emergency workers",Accumulation of methane gas,"13 dead, 8 injured","Prime Minister and President visits, temporary ban on mining, treatment of injured miners",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Petrila Mine disaster
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"June 13, 1917","Lee Eldas Phillips, Frank Phillips","Bartlesville, Oklahoma","Oil and gas production, crude oil pipelines, refineries, marketing",Largest producer of natural gas liquids in the U.S.,,,,,,,,,,,,,,,,,,,,,,,,,,,Phillips explosion of 1999
"Pike River Mine, 46 km northeast of Greymouth, New Zealand",19 November 2010,29 dead,Methane explosion,,,,,,Pike River Coal Limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pike River Mine disaster
"Port Chicago, California","July 17, 1944","320 dead, 390 injured",Munitions detonation during loading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Port Chicago Mutiny, 50 men convicted of mutiny, questions on legality and fairness, desegregation of Navy forces, establishment of Port Chicago Naval Magazine National Memorial",,,,,,,,,,,,,,,,,,,,,,,,,,Port Chicago disaster
"Port Neal, Iowa, USA","December 13, 1994","4 killed, 18 injured",Accelerated thermal decomposition reaction due to unsafe procedures,"Destruction of building, 4 disabled electricity stations, power disruption, ammonia release, 1,700 residents evacuated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Port Neal fertilizer plant explosion
"Paravur, Kollam, Kerala, India","April 10, 2016","111 dead, 350+ injured",Sparks from firecrackers during fireworks display,"Temple and houses damaged, people injured with severe burns","Kerala High Court ban on sound-emitting firecrackers, investigation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Puttingal temple fire
"Qishanyan Tunnel, Dafang County, China",2 May 2017,"12 killed, 12 injured",Suspected gas leak,,,,,,,,,,,"Construction of the Qishanyan railway tunnel, China-related article stub",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qishanyan Tunnel explosion
"Qixia, Shandong, China",10 January 2021,"10 dead, 1 missing, 11 rescued",Access tunnel collapse due to explosion,,"Delayed reporting, initiation of Integrated Emergency Rescue Command, rescue efforts, medical treatment, investigation",,,,,,,,,,,"Hushan gold mine, Yantai Qixia gold mine, 240 meters underground, severe damage to cages and communication",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qixia gold mine accident
"RAF Fauld, Staffordshire, England","November 27, 1944",Approximately 70,Brass chisel causing sparks during detonator removal,,,"No. 21 Maintenance Unit RAF Bomb Storage made from old gypsum mine workings, containing various ordnance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RAF Fauld explosion
"Ramses Station, Cairo, Egypt","February 27, 2019","25 killed, 40 injured",Locomotive hitting buffers at high speed leading to explosion and fire,,"Transport Minister resignation, calls for responsible employees to face penalties",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Locomotive hitting buffers at platform 6, resulting in a major blaze and fireball, driver was not inside during the accident",,,,,,,,,,,,,,,,,,,,,,,,,Ramses Station rail disaster
"Raspadskaya mine, Mezhdurechensk, Russia",8 May 2010,"66 dead, at least 99 injured, 24 unaccounted for",,,"Rescue efforts, 560 people involved, aid from other parts of Russia",,,Methane buildup,Russian company Raspadskaya,,,,,,,"Largest underground coal mine in Russia, history of accidents and safety problems",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raspadskaya mine explosion
"Ryongchŏn, North Korea","April 22, 2004",At least 54 killed,Flammable cargo explosion at Ryongchon Station,"1,850 buildings destroyed, 6,350 damaged","State of emergency declared, limited information released to public",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryongchon disaster
"Río Tercero, Córdoba, Argentina",3 November 1995,"7 dead, 300+ injured","Initially ruled an accident, later revealed as deliberate",,,,,,,,,,,,,,,,,,,,,,"State-owned military factory destroyed, smuggling of weapons uncovered",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Four high functionaries sentenced, former president investigated",,,,,,,,,,,,,,,,,,,,,,,,R铆o Tercero explosion
"Rue Arago, Saint-Laurent-de-la-Salanque, France",14 February 2022,8 dead,Explosion followed by fire in building,,"Deployment of 120 firefighters, injuries, psychological damage, ongoing investigation",,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saint-Laurent-de-la-Salanque explosion
"San Juanico, Tlalnepantla de Baz, Mexico",19 November 1984,"500-600 killed, 5000-7000 severely burned",Gas leak igniting at waste-gas flare pit causing BLEVE,,,"Storage and distribution facility for liquified petroleum gas with 54 storage tanks, 6 large spherical tanks, 48 smaller horizontal bullet-shaped tanks containing a propane/butane mixture",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,San Juanico disaster
"Seest, Kolding, Denmark","November 3, 2004",,Accidental ignition of fireworks in warehouse,,,,,,,,,,17 locals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 firefighter,355 houses,€100 million,,,,,,,,,,,,,,,,,,,,,Seest fireworks disaster
"Near Yan'an, Shaanxi Province, China",26 August 2012,36 dead,Tanker loaded with methanol rear-ended by sleeper bus,,,,"3 survivors hospitalized, Investigation into safety official, Outrage over official's behavior",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tanker and Double-Decker Bus,,,,,,,,,,,,,,,,,,,,Shaanxi bus–tanker crash
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Explosives stored in shanty at the quarry,Additional columns that could be included:,- Time of the explosion,- Name and brief background of the individual killed,- Any official investigations conducted,,,,,,,,,,,,,,,Sibley Quarry explosion
"Sivakasi, India",5 September 2012,"40 killed, 70+ injured",Unauthorized fireworks factory,,,,,,,,,,,,"Lack of safety precautions, high production pressure, delayed response",,,,,,,,,,"Om Sakthi Fireworks Industries, single larger unit, 48 ancillary units, suspended license",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sivakasi factory explosion
"Soma, Manisa, Turkey",13 May 2014,301,Underground mine fire,,,,,,,,"Worst mine disaster in Turkey, explosion cause under investigation, Minister of Energy's confirmation of death toll",,,,,,,,,,,,,,,Soma Kömür İşletmeleri A.Ş.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,787,,,,,,,,,,,,,,Soma mine disaster
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Failure of O-ring seals in right solid rocket booster,Additional Information:,- The accident occurred during the Space Shuttle Challenger's tenth flight (STS-51-L) and twenty-fifth flight of the Space Shuttle fleet.,- Crew members were supposed to deploy a communications satellite and study Halley's Comet.,- The disaster was caused by the failure of O-ring seals due to record-low temperatures.,- The accident led to the disintegration of the spacecraft over the Atlantic Ocean.,- Fragments were recovered from the ocean after a search-and-recovery operation.,,,,,,,Space Shuttle Challenger disaster
"Woodside district of Maryhill, Glasgow, Scotland",11 May 2004,"9 killed, 33 injured (15 seriously)",Unspecified explosion led to building collapse,,"Patient Transport Ambulance crew, firefighters, paramedics, search-and-rescue teams involved, ongoing search for survivors",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Four-storey building largely destroyed, approximately 100 workers",,,,,,Stockline Plastics factory explosion
"Tangerang, Indonesia",26 October 2017,"49 killed, 46 injured, several missing",Accidental ignition of gunpowder during welding,,,,,,,,,,,,,,,,,,,,,"Deadliest industrial accident in Indonesia, massive fire, students evacuated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tangerang fireworks disaster
"Port of Texas City, Texas, USA","April 16, 1947",At least 581 dead,Fire aboard SS Grandcamp detonating ammonium nitrate,,,,,,,,,,,,,,"SS Grandcamp, Liberty Ship, carrying 2,300 tons of ammonium nitrate, small arms ammunition, machinery, sisal twine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Texas City disaster
"Texas City, Texas","March 23, 2005","15 killed, 180 injured",Vapor cloud of natural gas and petroleum ignited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Second-largest oil refinery in Texas, Third-largest in the US, BP owned, Input capacity of 437,000 barrels per day as of 2000","Organizational and technical failings identified, BP divestment and sale to Marathon Petroleum Corporation",,,,Texas City Refinery explosion
"North York, Toronto, Ontario, Canada","August 10, 2008","2 dead, many evacuated",Series of explosions at Sunrise Propane Industrial Gases facility,"Thousands evacuated, C$1.8 million cleanup cost, firefighter death",,"Sunrise Propane Industrial Gases, propane facility in Downsview neighbourhood",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toronto propane explosion
"Mexico City, Mexico",31 January 2013,"37 dead, 121 injured",Gas leak ignited by electrical fault,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Torre Ejecutiva Pemex explosion
"Toulouse, France",21 September 2001,"31 deaths, 30 seriously wounded, 2,500 light casualties",Ammonium nitrate explosion,,,,,,,,,,,,"Factory destroyed, crater with 7m depth and 40m diameter, steel girders found 3km away, damages exceeding 1.5 billion euros",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.4 on Richter scale, equivalent to 20-40 tons of TNT",,,Toulouse chemical factory explosion
"Tradeston Flour Mills, Glasgow, Scotland",9 July 1872,"18 dead, at least 16 injured",Grain dust ignition due to millstones rubbing,,,Matthew Muir & Sons flour mill with grain store and mill building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tradeston Flour Mills explosion
"Iglinsky District, Bashkir ASSR, Soviet Union","June 4, 1989","575 dead, 800 injured",Leaked natural gas liquids from a faulty pipeline ignited by wheel sparks from two passing passenger trains,,,,,,,,"Ulu-Telyak station, memorial at the site, pipeline originally designed for oil transport, lack of leak detection system, mechanical damage to the pipeline, increased pressure in the system",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ufa train disaster
"Raleigh County, West Virginia, USA","April 5, 2010",29 miners killed,Coal dust explosion,Worst US mining disaster since 1970,"Citations, penalties, settlement with U.S. Attorney, mine closure, criminal liabilities",,,,Massey Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper Big Branch Mine disaster
