Aircraft,Event,Date,Location,Casualties,Cause of Crash,Registration,Route,Engine,Passenger Capacity,Design Features,Intended Market,Establishment of Georgian Air Force,First Combat Flight,Abolishment of Georgian Air Force,Re-establishment of Georgian Air Force,Modernization Efforts under Irakli Garibashvili,Establishment Date,Current Rank,Primary Mission,Wars with Pakistan,Major Operations,UN Peacekeeping Missions,Personnel Count (July 2017),Role of President,Chief of the Air Staff,Highest Rank Held,Possible Causes of Crash,trigger
Boeing 737-300,SilkAir Flight 185,"December 19, 1997","Musi River near Palembang, Sumatra","97 passengers, 7 crew",Deliberate flight-control inputs by the captain,9V-TRF,"Jakarta, Indonesia to Singapore",,,,,,,,,,,,,,,,,,,,,SilkAir Flight 185
Boeing 747-412,Singapore Airlines Flight 006,"October 31, 2000",Taiwan Taoyuan International Airport,"81 fatalities, 98 survivors","Attempted takeoff from wrong runway during typhoon, crashed into construction equipment",9V-SPK,Singapore to Taipei to Los Angeles,,,,,,,,,,,,,,,,,,,,,Singapore Airlines Flight 006
Sukhoi Su-27,Sknyliv air show disaster,"July 27, 2002","Sknyliv airfield, Ukraine","77 killed, 543 injured","Pilot error, slow reaction to warnings",,,,,,,,,,,,,,,,,,,,,,,Sknyliv air show disaster
Fokker F27 Friendship,Somali Airlines Flight 40,"July 20, 1981","Near Balad, Somalia","44 passengers, 6 crew","Loss of control due to strong vertical gusts, exceeding design stress limits",Unknown,Mogadishu to Hargeisa,,,,,,,,,,,,,,,,,,,,,Somali Airlines Flight 40
McDonnell Douglas DC-9-32,Sosoliso Airlines Flight 1145,"December 10, 2005",Port Harcourt International Airport,"110 people on board, 2 survivors","Pilot error, wind shear condition, late go-around configuration",Unknown,Abuja to Port Harcourt,,,,,,,,,,,,,,,,,,,,,Sosoliso Airlines Flight 1145
Boeing 707-300C Pretoria,South African Airways Flight 228,"April 20, 1968","Windhoek, South West Africa","123 fatalities, 5 survivors","Pilot error, lack of ground proximity warning system",ZS-EUW,"Johannesburg to Heathrow via Windhoek, Luanda, Las Palmas, Frankfurt",,,,,,,,,,,,,,,,,,,,,South African Airways Flight 228
Boeing 747-200 Combi,South African Airways Flight 295,"November 28, 1987",Indian Ocean east of Mauritius,159 fatalities,"In-flight fire, mid-air breakup, crash",ZS-SAS,"Taipei, Taiwan to Johannesburg, South Africa via Mauritius",,,,,,,,,,,,,,,,,,,,,South African Airways Flight 295
McDonnell Douglas DC-9-31,Southern Airways Flight 242,"April 4, 1977","New Hope, Paulding County, Georgia","63 passengers, 9 ground fatalities, 20 survivors",Forced landing due to hail damage and engine thrust loss in thunderstorm,N1335U,"Muscle Shoals, Alabama to Atlanta, Georgia",,,,,,,,,,,,,,,,,,,,,Southern Airways Flight 242
Douglas DC-9,Southern Airways Flight 932,"November 14, 1970","Near Kenova and Ceredo, West Virginia",75 fatalities,"Crashed into a hill during approach to Tri-State Airport, short of the runway",N97S,"Kinston, North Carolina to Huntington, West Virginia",,,,,,,,,,,,,,,,,,,,,Southern Airways Flight 932
McDonnell Douglas MD-82,Spanair Flight 5022,"August 20, 2008","Madrid, Spain","154 fatalities, 18 survivors",Failure to deploy flaps and slats for takeoff,EC-HFP,Barcelona–El Prat Airport to Gran Canaria Airport via Madrid–Barajas Airport,,,,,,,,,,,,,,,,,,,,,Spanair Flight 5022
Convair 990 Coronado,Spantax Flight 275,"December 3, 1972",Tenerife-Norte Los Rodeos Airport,"148 passengers, 7 crew","Steep turn leading to loss of control in low-visibility conditions, crash beyond runway",EC-BZR,Tenerife to Munich,,,,,,,,,,,,,,,,,,,,,Spantax Flight 275
DC-10,Spantax Flight 995,"September 13, 1982","Malaga, Spain","50 fatalities, 110 hospitalized","Wheel failure causing vibration, aborted take-off, runway overrun, collision with vehicles, fire",Unknown,Madrid-Barajas to New York via Málaga,,,,,,,,,,,,,,,,,,,,,Spantax Flight 995
Boeing 737-500,Sriwijaya Air Flight 182,"January 9, 2021",Java Sea off Thousand Islands,62 fatalities,Possible autothrottle malfunction,PK-CLC,Jakarta to Pontianak,,,,,,,,,,,,,,,,,,,,,Sriwijaya Air Flight 182
Antonov An-24,Stavropolskaya Aktsionernaya Avia Flight 1023,"March 18, 1997","Near Cherkessk, Russia","50 passengers, 8 crew","Structural failure due to corrosion, mid-air breakup",Unknown,Stavropol to Trabzon,,,,,,,,,,,,,,,,,,,,,Stavropolskaya Aktsionernaya Avia Flight 1023
Sud Aviation Caravelle 10B3,Sterling Airways Flight 296,"March 14, 1972","Near Kalba, United Arab Emirates",112 passengers and crew,Pilot error,OY-STL,"Colombo to Copenhagen via Bombay, Dubai, Ankara",,,,,,,,,,,,,,,,,,,,,Sterling Airways Flight 296
Boeing 737-2J8C,Sudan Airways Flight 139,"July 8, 2003",Port Sudan,116 fatalities,"Engine failure, missed runway during emergency landing",ST-AFK,Port Sudan to Khartoum,,,,,,,,,,,,,,,,,,,,,Sudan Airways Flight 139
Antonov An-24,Sudanese Air Force Antonov An-24 Crash,"April 4, 2001","Adaril, Sudan",15 fatalities,Unknown,,,,,,,,,,,,,,,,,,,,,,,Sudanese Air Force
McDonnell Douglas DC-8-62,Surinam Airways Flight 764,"June 7, 1989","Paramaribo-Zanderij, Suriname",178 fatalities,"Crew error, inappropriate navigation signal, ignored alarms",Unknown,Amsterdam to Paramaribo-Zanderij,,,,,,,,,,,,,,,,,,,,,Surinam Airways Flight 764
McDonnell Douglas MD-11,Swissair Flight 111,"September 2, 1998","Atlantic Ocean southwest of Halifax, Nova Scotia",229 passengers and crew,Fire due to flammable material in aircraft structure,HB-IWF,"New York City, United States to Geneva, Switzerland",,,,,,,,,,,,,,,,,,,,,Swissair Flight 111
Sud Aviation SE-210 Caravelle III,Swissair Flight 306,"September 4, 1963","Dürrenäsch, Aargau",80 fatalities,"Brakes overheated, magnesium wheels burst, hydraulic lines damaged",Schaffhausen,Zürich to Rome via Geneva,,,,,,,,,,,,,,,,,,,,,Swissair Flight 306
Ilyushin Il-18B,TABSO Flight 101,"November 24, 1966","Near Bratislava, Slovakia",82 fatalities,Under investigation,LZ-BEN,"Sofia, Bulgaria to East Berlin, German Democratic Republic via Budapest, Hungary and Prague, Czechoslovakia",,,,,,,,,,,,,,,,,,,,,TABSO Flight 101
Tupolev Tu-154B-1,Tajikistan Airlines Flight 3183,"December 15, 1997","13 km east of Sharjah Airport, UAE","79 passengers, 7 crew, 1 survivor","Pilot error, controlled flight into terrain",Unknown,Khujand to Sharjah Airport,,,,,,,,,,,,,,,,,,,,,Tajikistan Airlines Flight 3183
Airbus A320-233,TAM Airlines Flight 3054,"July 17, 2007","São Paulo, Brazil","187 passengers, 12 ground","Pilot error, runway conditions",PR-MBK,Porto Alegre to São Paulo,,,,,,,,,,,,,,,,,,,,,TAM Airlines Flight 3054
Fokker 100,TAM Transportes Aéreos Regionais Flight 402,"October 31, 1996","São Paulo, Brazil","95 passengers, 4 ground fatalities","Reversed thrust, stall, loss of control, impact with buildings and houses",PT-MRK,São Paulo–Congonhas International Airport to Recife International Airport via Santos Dumont Airport,,,,,,,,,,,,,,,,,,,,,TAM Airlines Flight 402
Boeing 727-134,TAME Flight 120,"January 28, 2002","Near Ipiales, Colombia",All passengers and crew,"Pilot error, incorrect approach in foggy conditions, crashed into Cumbal Volcano",HC-BLF,"Quito, Ecuador to Tulcán, Colombia",,,,,,,,,,,,,,,,,,,,,TAME Flight 120
Boeing 727-224,TAN-SAHSA Flight 414,"October 21, 1989","Tegucigalpa, Honduras","131 fatalities, 15 survivors","Failure to follow landing procedure, continuous descent, impact with mountain",N88705,"San José, Costa Rica to Tegucigalpa, Honduras via Managua, Nicaragua",,,,,,,,,,,,,,,,,,,,,Tan-Sahsa Flight 414
Boeing 727-282 Advanced,TAP Flight 425,"November 19, 1977","Santa Catarina Airport, Portugal",131 fatalities,"Runway overrun, crash, and explosion",CS-TBR,Brussels to Lisbon to Santa Catarina,,,,,,,,,,,,,,,,,,,,,TAP Portugal Flight 425
Airbus A310-324,TAROM Flight 371,"March 31, 1995","Balotești, Romania",60 fatalities,"Faulty auto-throttle, captain incapacitation",YR-LCC,Bucharest to Brussels,,,,,,,,,,,,,,,,,,,,,TAROM Flight 371
Boeing 737-500,Tatarstan Airlines Flight 363,"November 17, 2013",Kazan International Airport,"44 passengers, 6 crew",Pilot error during go-around procedure,VQ-BBN,"Moscow to Kazan, Russia",,,,,,,,,,,,,,,,,,,,,Tatarstan Airlines Flight 363
Airbus A310-204,Thai Airways International Flight 261,"December 11, 1998","Surat Thani, Thailand",101 fatalities,"Crew disorientation, upset condition, failure to recover aircraft",HS-TIA,Bangkok to Surat Thani,,,,,,,,,,,,,,,,,,,,,Thai Airways Flight 261
Boeing 737-2P5,Thai Airways Flight 365,"August 31, 1987","Phuket International Airport, Thailand","74 passengers, 9 crew","Aerodynamic stall due to reduced approach speed, pilot error, air traffic control failure",HS-TBC,Hat Yai to Phuket,,,,,,,,,,,,,,,,,,,,,Thai Airways Flight 365
Airbus A310-304,Thai Airways International Flight 311,"July 31, 1992","37 km north of Kathmandu, Nepal","99 passengers, 14 crew","Crashed on approach into mountain, all onboard killed",HS-TID,"Bangkok, Thailand to Kathmandu, Nepal",,,,,,,,,,,,,,,,,,,,,Thai Airways International Flight 311
NAMC YS-11A-217,Toa Domestic Airlines Flight 63,"July 3, 1971","Yokotsudake, Japan","64 passengers, 4 crew","Pilot error, controlled flight into terrain (CFIT)",JA8764,Sapporo to Hakodate,,,,,,,,,,,,,,,,,,,,,Toa Domestic Airlines Flight 63
Lockheed L-188C Electra,Trans Service Airlift Lockheed L-188 crash,"December 18, 1995","Near Jamba, Angola",141 passengers and crew,"Weight imbalance due to cargo shifting, carrying more passengers than designed capacity",,,,,,,,,,,,,,,,,,,,,,,Trans Service Airlift (9Q-CRR)
Canadair North Star,Trans-Canada Air Lines Flight 810-9,"December 9, 1956","Mount Slesse, Chilliwack, Canada",62 fatalities,"Severe icing and turbulence, pilot error, incorrect flight path, mountain collision",Unknown,Vancouver to Calgary,,,,,,,,,,,,,,,,,,,,,Trans-Canada Air Lines Flight 810
Douglas DC-8,Trans-Canada Air Lines Flight 831,"November 29, 1963","Ste-Thérèse-de-Blainville, Quebec, Canada","111 passengers, 7 crew","Loss of control, quick descent, impact with the ground",CF-TJN,Montréal–Dorval to Toronto,,,,,,,,,,,,,,,,,,,,,Trans-Canada Air Lines Flight 831
Boeing 727-27C,Transbrasil Flight 303,"April 12, 1980","Ratones, Brazil",55 fatalities,"Night instrument approach in severe thunderstorm, off-course descent, impact with hill",PT-TYS,"Congonhas-São Paulo to Florianópolis, Brazil",,,,,,,,,,,,,,,,,,,,,Transbrasil Flight 303
Douglas DC-6A,Transocean Air Lines Flight 512,"July 12, 1953","Pacific Ocean, 630 km east of Wake Island","58 passengers, crew",Unknown,Unknown,"Guam to Oakland, California via Wake Island, Honolulu",,,,,,,,,,,,,,,,,,,,,Transocean Air Lines Flight 512
ATR 42,Trigana Air Flight 267,"August 16, 2015","Bintang highlands, Oksibil","49 passengers, 5 crew","Deviation from visual approach guidance, deactivation of EGPWS, safety culture shortcomings",PK-YRN,Sentani to Oksibil,,,,,,,,,,,,,,,,,,,,,Trigana Air Flight 267
Boeing 737-4Y0,Turkish Airlines Flight 278,"December 29, 1994","Edremit district, Van Province","5 crew, 52 passengers killed, 2 crew, 17 passengers injured",Crashed during final approach in driving snow,TC-JES,Ankara to Van,,,,,,,,,,,,,,,,,,,,,Turkish Airlines Flight 278
Fokker F28-1000 Fellowship,Turkish Airlines Flight 301,"January 26, 1974",Izmir Cumaovası Airport to Istanbul Yeşilköy Airport,"4 crew, 62 passengers killed, 1 crew, 6 passengers survived","Pilot error, over-rotation, frost accretion on wings",TC-JAO,Izmir to Istanbul,,,,,,,,,,,,,,,,,,,,,Turkish Airlines Flight 301
Boeing 727-200,Turkish Airlines Flight 452,"September 19, 1976","Karatepe, Isparta Province, Turkey","146 passengers, 8 crew","Pilot error, mistaken identification of runway, descent onto highway",Unknown,Istanbul to Antalya,,,,,,,,,,,,,,,,,,,,,Turkish Airlines Flight 452
British Aerospace Avro RJ100,Turkish Airlines Flight 634,"January 8, 2003","Diyarbakır, Turkey",75 of 80 occupants,Struck ground on final approach during inclement weather conditions,Unknown,,,,,,,,,,,,,,,,,,,,,,Turkish Airlines Flight 634
McDonnell Douglas DC-10,Turkish Airlines Flight 981,"March 3, 1974","Ermenonville Forest, outside Paris",346 fatalities,"Cargo door burst open, explosive decompression, severed critical cables",Unknown,Istanbul to Paris to London Heathrow,,,,,,,,,,,,,,,,,,,,,Turkish Airlines Flight 981
Convair 880,TWA Flight 128,"November 20, 1967",Greater Cincinnati Airport,70 fatalities,Final approach crash,Unknown,"Los Angeles to Boston via Cincinnati, Pittsburgh",,,,,,,,,,,,,,,,,,,,,TWA Flight 128
Boeing 727-231,TWA Flight 514,"December 1, 1974","Mount Weather, Virginia","85 passengers, 7 crew",Controlled flight into terrain due to confusion over approach clearance,N54328,"Indianapolis, Indiana to Columbus, Ohio to Washington Dulles International",,,,,,,,,,,,,,,,,,,,,TWA Flight 514
Lockheed Constellation L-049,TWA Flight 529,"September 1, 1961","Chicago, Illinois","73 passengers, 5 crew","Loss of elevator control bolt, abrupt pitch up, stall, and crash",N86511,Boston to San Francisco,,,,,,,,,,,,,,,,,,,,,TWA Flight 529
Boeing 747-100,TWA Flight 800,"July 17, 1996","Atlantic Ocean near East Moriches, NY",230 fatalities,"Explosion of flammable fuel vapors in the center fuel tank, likely due to a short circuit",N93119,New York to Rome with stopover in Paris,,,,,,,,,,,,,,,,,,,,,TWA Flight 800
Lockheed L-1649A Starliner,TWA Flight 891,"June 26, 1959",Milan Malpensa Airport,"68 passengers, 9 crew","Structural failure, lightning strike",Unknown,"Athens, Greece to Rome, Milan to Paris",,,,,,,,,,,,,,,,,,,,,TWA Flight 891
Lockheed L-749A Constellation,TWA Flight 903,"August 31, 1950","Near Ityai el Barud, Western Desert, Egypt",55 fatalities,"Engine fire leading to forced landing, rear master rod bearing failure",Unknown,"Cairo to Rome, with final destination New York",,,,,,,,,,,,,,,,,,,,,TWA Flight 903
Boeing 737-800,Ukraine International Airlines Flight 752,"January 8, 2020","Tehran, Iran",176 passengers and crew,Shot down by Iranian military,Unknown,Tehran to Kyiv,,,,,,,,,,,,,,,,,,,,,Ukraine International Airlines Flight 752
Yakovlev Yak-42D,UM Airlines Flight 4230,"May 26, 2003","Maçka, Trabzon, Turkey","13 crew, 62 passengers","Attempted landing in dense fog, crashed into mountain",Unknown,Manas International Airport to Zaragoza Airport,,,,,,,,,,,,,,,,,,,,,UM Airlines Flight 4230
McDonnell Douglas DC-10-10,United Airlines Flight 232,"July 19, 1989","Sioux City, Iowa","112 fatalities, 184 survivors","Catastrophic engine failure, loss of flight controls, successful crew resource management",Unknown,"Denver to Chicago to Philadelphia, crash-landed at Sioux City, Iowa",,,,,,,,,,,,,,,,,,,,,United Airlines Flight 232
Douglas DC-4,United Air Lines Flight 409,"October 6, 1955","Medicine Bow Peak, near Laramie, Wyoming","66 passengers, 0 crew","Crashed into mountain, all 66 on board killed",N30062,"New York City to San Francisco with stops in Chicago, Denver, Salt Lake City",,,,,,,,,,,,,,,,,,,,,United Airlines Flight 409
Douglas DC-6,United Air Lines Flight 608,"October 24, 1947","1.5 miles southeast of Bryce Canyon Airport, Utah","5 crew, 47 passengers","Fire in baggage compartment, uncontrollable, leading to crash",NC37510,Los Angeles to Chicago,,,,,,,,,,,,,,,,,,,,,United Airlines Flight 608
Douglas DC-6,United Air Lines Flight 610,"June 30, 1951","Larimer County, northwest of Denver",50 fatalities,"Pilot error, incorrect audio frequency selection, failure to intercept course line",Unknown,San Francisco–Oakland–Salt Lake City–Denver–Chicago,,,,,,,,,,,,,,,,,,,,,United Airlines Flight 610
Douglas DC-6,United Air Lines Flight 615,"August 24, 1951","15 miles southeast of Oakland, California","44 passengers, 6 crew","Pilot error, ignoring instrument landing procedures",N37550,"Boston to Hartford, Cleveland, Chicago, Oakland, San Francisco",,,,,,,,,,,,,,,,,,,,,United Airlines Flight 615
Ilyushin Il-18,United Arab Airlines Flight (Aswan Crash),"March 20, 1969",Aswan Airport,100 fatalities,"Pilot error, fatigue, reduced visibility",Unknown,"Jeddah, Saudi Arabia to Aswan, Egypt",,,,,,,,,,,,,,,,,,,,,United Arab Airlines (SU-APC)
Bombardier Q400,US-Bangla Airlines Flight 211,"March 12, 2018","Kathmandu, Nepal","51 fatalities, 20 serious injuries",Pilot disorientation and loss of situational awareness,S2-AGU,"Dhaka, Bangladesh to Kathmandu, Nepal",,,,,,,,,,,,,,,,,,,,,US-Bangla Airlines Flight 211
Boeing 737-3B7,USAir Flight 427,"September 8, 1994","Hopewell Township, Pennsylvania",132 fatalities,"Rudder malfunction leading to aerodynamic stall, inability to recover",N513AU,"Chicago to Pittsburgh to Palm Beach International Airport, Florida",,,,,,,,,,,,,,,,,,,,,USAir Flight 427
Airship,USS Akron,"April 4, 1933",Off the coast of New Jersey,73 of 76 crewmen and passengers,Destroyed in a thunderstorm,,,,,,,,,,,,,,,,,,,,,,,USS聽Akron
Boeing 727-223,UTA Flight 141,"December 25, 2003","Cotonou, Benin",141 fatalities,"Overloading, incompetence, short runway, high passenger demand",Unknown,"Conakry to Dubai via Benin, Libya, Lebanon",,,,,,,,,,,,,,,,,,,,,UTAGE Flight 141
McDonnell Douglas DC-9,ValuJet Airlines Flight 592,"May 11, 1996","Everglades, Florida",110 fatalities,Fire in cargo compartment due to improperly stored hazardous cargo,Unknown,Miami to Atlanta,,,,,,,,,,,,,,,,,,,,,ValuJet Flight 592
Boeing 707-320C,Varig Flight 797,"January 3, 1987",18 km from Rio de Janeiro Airport,"12 crew, 39 passengers","Engine failure, misjudged approach, stall, crash, fire",PP-VJK,"Abidjan, Côte d'Ivoire to Rio de Janeiro, Brazil",,,,,,,,,,,,,,,,,,,,,Varig Flight 797
Boeing 707-441,Varig Flight 810,"November 27, 1962","Lima, Peru",97 fatalities,Crashed into mountain on approach to Lima,PP-VJB,"Rio de Janeiro to Los Angeles with stopovers in Lima, Bogotá, Panama City, and Mexico City",,,,,,,,,,,,,,,,,,,,,Varig Flight 810
Boeing 707,Varig Flight 820,"July 11, 1973","Orly Airport, France","123 fatalities, 11 survivors",Fire in lavatory leading to emergency landing,PP-VJZ,Rio de Janeiro to Paris,,,,,,,,,,,,,,,,,,,,,Varig Flight 820
Boeing 707-441,Varig Flight 837,"March 5, 1967","Roberts International Airport, Monrovia, Liberia","50 passengers, 1 flight engineer, 5 ground fatalities","Pilot error, failure to execute missed approach",PP-VJB,Rome to Monrovia via Beirut,,,,,,,,,,,,,,,,,,,,,Varig Flight 837
Boeing 727-212,VASP Flight 168,"June 8, 1982","Fortaleza, Brazil",137 fatalities,"Pilot error, descent below clearance limit, impact with terrain",PP-SRK,São Paulo to Fortaleza,,,,,,,,,,,,,,,,,,,,,VASP Flight 168
DC-9-30,Viasa Flight 742,"March 16, 1969","Maracaibo, Venezuela","84 passengers, 71 ground fatalities","Struck power lines, crashed into La Trinidad, Maracaibo",Unknown,Caracas to Maracaibo to Miami,,,,,,,,,,,,,,,,,,,,,Viasa Flight 742
Douglas DC-8-53,Viasa Flight 897,"May 30, 1961",Off the coast of Portugal,61 occupants,Spiral dive leading to impact with the sea,PH-DCL,Rome–Madrid–Lisbon–Santa Maria–Caracas,,,,,,,,,,,,,,,,,,,,,Viasa Flight 897
Tupolev Tu-134B-3,Vietnam Airlines Flight 815,"September 3, 1997",Phnom Penh International Airport,65 fatalities,"Improper actions by the pilot, heavy rain, communication issues with control tower",VN-A120,Ho Chi Minh City to Phnom Penh,,,,,,,,,,,,,,,,,,,,,Vietnam Airlines Flight 815
Tupolev Tu-134,Vietnam Airlines Flight 831,1988,"Semafahkarm Village, Tambon Khu Khot, Amphoe Lam Luk Ka, Pathum Thani, Thailand","3 crew, 73 passengers","Undetermined, possible lightning strike",Unknown,Hanoi to Bangkok,,,,,,,,,,,,,,,,,,,,,Vietnam Airlines Flight 831
Tupolev Tu-154M,Vladivostok Air Flight 352,"July 4, 2001","Irkutsk, Russia","136 passengers, 9 crew",Pilot error,RA-85845,Yekaterinburg to Vladivostok via Irkutsk,,,,,,,,,,,,,,,,,,,,,Vladivostok Air Flight 352
Tupolev Tu-154M,Vnukovo Airlines Flight 2801,"August 29, 1996","Operafjellet, Svalbard",141 fatalities,Navigational errors during final approach,RA-85621,"Moscow to Svalbard Airport, Norway",,,,,,,,,,,,,,,,,,,,,Vnukovo Airlines Flight 2801
McDonnell Douglas MD-82,West Caribbean Airways Flight 708,"August 16, 2005",Northwest Venezuela,"160 passengers, crew",Aerodynamic stall leading to crash,HK-4374X,"Panama City, Panama to Fort-de-France, Martinique, France",,,,,,,,,,,,,,,,,,,,,West Caribbean Airways Flight 708
McDonnell Douglas DC-10,Western Airlines Flight 2605,"October 31, 1979",Mexico City International Airport,"72 passengers, 13 crew","Crashed after landing on closed runway due to maintenance, 73 fatalities",N903WA,Los Angeles to Mexico City,,,,,,,,,,,,,,,,,,,,,Western Airlines Flight 2605
Douglas DC-6,World Airways Flight 830,"September 19, 1960","Barrigada, Guam",80 fatalities,"Pilot error, failure to adhere to standard departure procedures",Unknown,Clark Air Force Base to Travis Air Force Base,,,,,,,,,,,,,,,,,,,,,World Airways Flight 830
"Various (Amiot AAC-1 Toucan, Noorduyn Norseman, Douglas C-47, North American T-6 Texans, Avia B-33)",Yemeni Air Force Historical Aircraft Acquisition,1926-1957,Yemen,N/A,N/A,Various,N/A,,,,,,,,,,,,,,,,,,,,,Yemen Air Force
Airbus A310-324,Yemenia Flight 626,"June 30, 2009",Near Prince Said Ibrahim International Airport,"152 fatalities, 1 survivor",Crew's inappropriate flight control inputs leading to aerodynamic stall,7O-ADJ,"Sana'a, Yemen to Moroni, Comoros",,,,,,,,,,,,,,,,,,,,,Yemenia Flight 626
Ilyushin Il-18B,Czechoslovak Airlines Flight 001,"July 28, 1976",Zlaté Piesky Lake,"6 crew, 70 passengers","Unstabilized approach, engine failure, loss of control",OK-NAB,Prague to Bratislava,,,,,,,,,,,,,,,,,,,,,膶SA Flight 001
Ilyushin Il-62,CSA Flight 540,"August 20, 1975",17 km from Damascus Airport,"126 passengers, 2 crew",Failure to maintain minimum flight altitude,Brno Trade Fair,"Prague to Tehran via Damascus, Baghdad",,,,,,,,,,,,,,,,,,,,,膶SA Flight 540
